Title,Author,Date,Rating,Content
Brain Meditation,JMAK24,09/24/2020,5 Stars,"Just finished the brain meditation for the first time. Very emotional, but cleansing, I’m in tears. I feel like a bit of weight has lifted. I truly needed this. I’ll be doing it daily. Thank you so much for sharing this meditation I believe it will be extremely helpful. ❤️."
This is It!,BRUHHHUHHUH,09/24/2020,5 Stars,"This amazing healer cuts straight through and speaks directly to your soul; He is a leader we desperately need in this unprecedented times. Saturate yourself in this powerful, eye opening information and your life will change!"
Cured all my health problems,health12345,09/24/2020,5 Stars,"Over the course of 5 years I had seen several doctors for my stomach pain and problems that I suffered with throughout college. Finally after 5 years I was able to get a diagnosis of gastroparesis, which is a rare condition. The doctors put me on a strict diet with limited fruits and no raw vegetables allowed. I became really thin and felt malnourished. My stomach pain was gone but my acid reflux worsened. Finally, a friend convinced me to try celery juice. For the first time in years, after 16 ounces of celery juice, I experienced little to no acid reflux afterwards. Fast forward a year and a half after following medical medium protocols (including celery juice every AM), I am stronger and eating more fruits and vegetables than ever and all my acid reflux/stomach problems are gone! After you experience a mystery illness and the doctors can’t even fix you after different diagnoses and medication that doesn’t work (and only worsens your condition), you will understand that he speaks the truth. So thankful for this information thank you Anthony William!"
Fruit fear,Jswano613,09/24/2020,1 Star,"Who started fruit fear? If you want to have this discussion you need to have transparency! You need to cite resources! I think Americans are eating way more fruit than ever before and they’re eating that instead of vegetables. Also Americans are eating way too much bread pasta and highly processed chips etc. but there add to the excess sugar intake from junk food with fruit as well. Studies have who’s too much fructose is deadly. Of course high-fructose corn syrup is the main issue. But, we can not just feed our children bread and fruit! Try eating fish and broccoli and spinach and almonds. You will be healthy! Eating fruit can be healthy. But, it shouldn’t be in the same category as veggies. Fruit is not evil. Apples are great! But, the ones breed to be huge and extra sweet aren’t as good as the real wild apples."
Powerful Meditation! Thank you!,healining2020,09/24/2020,5 Stars,"Thank you for the soul healing meditation!  This was the missing link to my healing. They say your eyes are a glimpse into your soul. I’m a believer!

To give you some background on me. These past few years I really started to notice my eyes in the mirror and in photographs. Something had changed or was missing. There’s this emptiness in my facial expression. Mainly in my eyes.  

Just last week my daughter pointed out that I no longer know how to smile in photos. Which was not the case prior. I was extremely photogenic. I loved being photographed. I’m guilty of taking  way too many selfies. I use to be called “Barbie Mom” by my daughters friends. You get the idea.

All that has change. I avoid photos. I don’t enjoy looking in the mirror anymore. After doing this meditation, now I know why.  I had some soul healing I needed to work on. 

When I saw my reflection, I was able to see all my past pain in my eyes. All my sadness in my eyes. All my disappointment in my eyes.

*** I had to pause while I wrote this review. After writing about my pain in the last sentence above, the tears started to flow. Then I began to cry. I instantly felt a lifetime of pain, sadness and disappointment. It was overwhelming. I cried hard. 

While crying, I still held my phone in my hand as I was determined to finish writing this review. Then my screen turned off.  The lighting was perfect. While still crying, I saw my reflection on my phone screen. I saw the tears running down my face. I saw & felt all the pain, sadness and disappointment I had experience throughout my lifetime. I felt sorry for my reflection. 

Then there was a shift in my energy. I felt compelled to soothe that reflection of myself I saw on my phone. I started saying out loud:  “You’re ok. You made it. You’re a good mom. You’re strong. You can do it”. 

Then there was another shift in me. I slowly started to smile. As I saw my smiling reflection on my phone I began to feel good. Feel lighter. Feel free. I smiled more and more. I even laughed out loud.

Then came the final shift. I began to praise my reflection out loud:  “I’m ok. I made it. I’m a good mom. I’m strong. I did it.”   

I went from saying “you’re to I’m.  It was right then, I had reconnected to my soul. I’m healing. I had stopped believing in myself. I stopped focusing on my happiness and my desires. I had let my pain & disappointment lead the way and influence me.

While still holding my phone, I stared at my reflection and focused in on my eyes.  I wanted to speak directly to my soul.  I said “Thank you”.  

I then looked to the right and thanked my dog, Simba. Who was sitting on the couch next to me. I then thanked my family. Especially my parents. Then my friends. The birds. All the animals. The trees and beautiful planet earth. I then looked up while feeling really good, I saw a beautiful red cardinal fly past my window. I love birds. Did you know they sing to the Angels? 

Anthony and Spirit of Compassion, thank you.  I found your Instagram account in 2018.  Since then, I read all your books. Listened to your radio show and podcasts.  I talk to the Angels you mention in your books.  I believe Angel of Mercy saved my mom’s life. That’s a story in itself.

I’ve healed many chronic symptoms. I live The Medical Medium Way. It’s a daily lifestyle that will last throughout my lifetime. 

You and SOC are spiritual members in our household. Not a day goes by that your names aren’t mentioned.  Thank you.✨

*** If you hadn’t listen to the meditation podcast, it may be best not to read this next part. I want you to have an organic experience. Stop here.

***

At the end of the meditation, when the voice is calling for me to take the final step forward and cross the hole in the bridge ... is when the magic occurred for me.

When I crossed the hole in the bridge and saw that it was me calling to myself this entire time, my body was pulled forward into myself (soul) standing in front of me at the end of the bridge. 

It wasn’t just a visual of myself going into my soul. I felt my body get sucked in.  It was a force. It was an amazing experience that I’ll never forget. 💗

Thank you & God Bless✨
Valerie Bank"
Meditation with Anthony William,Showshannah,09/24/2020,5 Stars,"Such a beautiful meditation experience like no other I’ve ever had. I felt the transformation throughout my mind, body and soul and felt so rejuvenated, refreshed and lighter afterwards. Thank you for sharing this generous gift with us Anthony William. I will be repeating this meditation every other day and when needed. I enjoyed it tremendously! 🧘🏻⭐️"
Chem trails,AShazamafan,09/24/2020,5 Stars,"I used to live in St. George, UT, and every time it rained, I would get a green mold on my patio outdoor rug.  I felt like it was from the chem trails. That was my only explanation of where it could possibly come from. So disheartening that we have to deal with that as well as what we’re dealing with in our health.  Thank you for your amazing information!"
Jaw Dropping,Jackolantern33,09/24/2020,5 Stars,"Medical Medium has gone above and beyond as always. This podcast is better than anything he's done when it comes to what's going on in the world. I can't wait for more episodes because I know they're going to change my life even more than it already has by Spirit of Compassion's information. Thanks to the Medical Medium and Spirit of Compassion, I went from dying to healing. It's been three years, and I've still got a long way to go with my chronic illnesses and these podcasts are already helping me get there quicker. It's shocking and sad what's going on in our world, but we can heal and change and overcome it all. I am forever grateful to you Anthony!"
Brain Meditation,Hazzel🦋,09/24/2020,5 Stars,The meditation brought me to tears. It felt so peaceful at the end. I released so much pain and fear 🦋. Thank you AW🙏🏼🦋
Meditation for the Soul,BrenhamHouse,09/24/2020,5 Stars,"It was so powerful. I had tears rolling down my face. I thank you so much for sharing with all of us. You are giving so much of your life to help others please know we are grateful. Thank you Spirit of Compassion, too!❤️"
True gift !,Awesome ghfgbg,09/24/2020,5 Stars,Can t thank you enough for sharing this knowledge with us ! Forever grateful
Thank you,alma11199,09/24/2020,5 Stars,"I am not a podcast person but love everything from MM and jumped on this podcast and app only because of this podcast series. I want to get all MM information I can. It’s been helping me with many health issues and I continue to do better with this information. I have been going to drs and NDs for 15 years prior and had a little bit of relief, spent a ton of money on testing and natural remedies. But still had many symptoms coming up. All of the information from MM has been life changing for me and I am very grateful for Anthony who keeps delivering us ways we can heal and have a better life. Thank you ❤️"
Brain Meditation on Fear blew my mind!,BewellwithHolly,09/24/2020,5 Stars,"OMG! This brain meditation blew my mind because… I remembered all of it literally every detail from a dream! How is that possible? I am not a person that is really into far out metaphysical stuff but I do like to meditate. I had this exact dream and remembered it to the point that I knew the ending of everybody that I ever knew coming to meet me and it was this overwhelming feeling of God’s presence.... which is LOVE!  That was so weird!
Awesome weird!  WOW!"
Finally Answers,KBock,09/24/2020,5 Stars,"Have been following MM for years and have healed with his info. Between his books, social media and website, I love the podcasts the most. Always some new insights and information I haven’t heard and resonates. Motivating, positive and different from everything else you hear out there. Food is medicine."
Such a blessing!,Mrs. Mandy M.,09/24/2020,5 Stars,"When my neighbor shared Anthony’s first book with me 4 years ago, I immediately knew my prayers were being answered. This podcast is the best because I can listen over and over and send episodes to friends. Thank you Anthony for all the information (TRUTH), recommendations, recipes and meditations. Because of you and spirit so many are healing, getting their lives back and in turn able to heal their loved ones and focus on the work they came here to do. This podcast and Anthony’s books bring exponential value into this world. Listen, read, share and the world becomes a better place because of it!❤️"
Great person sharing Truth!,Enduringtotheend,09/24/2020,5 Stars,We are blessed to have this information shared so willingly with anyone who is willing to listen and learn. Thank you Anthony for the sacrifices you make for all of us. Your info has already helped me so much.
Life Changing!!,Stephlynnwd,09/24/2020,5 Stars,Anthony William has dedicated his life to providing life changing information for EVERYONE! God blessed him wit a gift and he is sharing it with the world. Most valuable podcast ever made!
O M G,OMO M G,09/24/2020,5 Stars,Thank you so much Anthony - will listen several tomes a day - Reconnection so needed dearly - God bless you ❤️❤️❤️
Thank you for the Truth!,@HealingWithSpirit,09/24/2020,5 Stars,"Thank you AW for sharing the truth and spending your own money and time to get it to people like me, the chronically ill, that need it so desperately! 
You are a bright light shining like a lighthouse in the darkness of ignorance and deviousness.  You ask nothing in return from us, only that we believe that WE CAN HEAL, and that we share that truth with others that need it.
AW, I feel your compassion for us, and I’m so grateful for you and Spirit of the Most High, and your willingness to share your gift with us even though it has never been easy for you.
I’m still on my healing journey, but the information you share has helped me heal a huge amount already, and renewed my hope when I had almost given up.  The results I’ve already had and the compassionate words you have spoken again and again have brought me back from thoughts of suicide because my pain and suffering has been so bad I’ve felt like I couldn’t bare it any longer.
Thank you for saying the reason I’m sick is not my fault, you don’t know how much those words have helped me and have made me cry with gratitude and self-forgivness, that I could stop blaming myself and my body.
You are so strong to do what you do, and I might not still be alive without your strength to keep going and get this healing information out there.
With much love for you and Spirit, 
Sarah 💜"
LIFE SAVING 🙏🏼🙌🏼💖,_amberlynnstone,09/24/2020,5 Stars,"I have been following medical medium for about 4 years and this journey has been nothing short of miraculous with the monumental shifts that have taken place from applying Spirit of Compassion’s information to heal. It’s not only given me back my life and given me a fighting chance against the immense darkness I have faced, but it’s allowing me to overcome it all again and again and again. Medical Medium has been the reason my faith in God has been restored and has brought nothing but beauty and blessings into my life. I am so incredibly grateful for his information and this new platform that will be dropping the Truth UNCENSORED !!! We can’t protect ourselves when we are in the dark and unaware. This podcast is the armor of God that will protect so many and bring so many out of the darkest nights like the information has been doing for millions around the world. Anthony is a Godsend and I am eternally grateful for all he does to risk his life to get the Truth out! He is making a way where there was none and God is truly with him. God bless get ready for your life to transform in the best of ways!🙏🏼🙌🏼💗✝️🕊✨😇"
💙The most Amazing information on planet Earth! 💙,pinkgina82,09/23/2020,5 Stars,"Anthony and Spirit of Compassion’s information is life changing in the Best way possible! I’m grateful for this podcast and all the future episodes are excitedly anticipated! 🙏🏼 I have healed from this information emotionally, physically and most importantly Spiritually!!! 🙌🏼 I continue to absorb Anthony’s information and that’s why I’m beyond happy for this podcast, to be able to share with so many others!"
mind blowing information,Life6435,09/23/2020,5 Stars,"Anthony Williams is completely uncensored in this podcast. He reveals mind blowing information, telling us the truth to what we are all up against I've listened to Anthony for years, he has completely healed my stage 4 EBV, shingles, strep, IBS, etc, but here Anthony also touches on those spiritual questions we all want to know 2! it's not scary to me, but very empowering! Can't wait for the brain meditation episode!"
The Truth,LauraAngels,09/23/2020,5 Stars,This is the truth. Do yourself a favor and listen to all AW's podcasts!
Empower Yourself to Heal,Candlechic,09/23/2020,5 Stars,AW and his information is a gift that shines light into the darkness. I will be forever grateful for Anthony’s willingness to step up and help those of us who are willing to receive his message with love & gratitude.
The only thing that’s REAL in this world!,jennimac222,09/23/2020,5 Stars,"If you want to live life in the dark then DONT Listen! Now for everyone else! If you have anything that is less than perfect in your life, to a debilitating deadly disease, then this is the only way! I have been in healthcare for over 20 years and unfortunately the great doctors just don’t have the information, tools, or knowledge to do what they need to do! Ask them! They want to heal but they don’t know how! His information can be reached for free but do yourself a favor and get all if the books! They are encyclopedias for life and how to heal when everything else has failed!  Start with the latest CLEANSE TO HEAL you won’t be disappointed! This is untainted information and here on Apple is the only way you won’t hear the “EDITED” version! Thank you Apple for giving us this as is!!!! Even more hyped on Apple for this!!!"
Nothing Tops Permanent Results! AW’s credentials come from healing millions.,Truth290#,09/23/2020,5 Stars,Anthony William
Incites Fear rather than Love and Healing,s.love9,09/23/2020,1 Star,"I have used and enjoyed a number of Anthony’s medical healing protocols however the nature of this podcast has taken a turn and is quite alarming. Particularly regarding the one on chem trails. 

There is an attempt to spark fear and choose sides with talk of a spiritual war. The fear mongering is reminiscent of FOX news. Just because you’ve had success with Anthonys protocols in your health, PLEASE do not follow Anthony blindly without doing additional research, particularly on issues outside of his purview."
Thank you for all you do for us!,Nbazeri,09/23/2020,5 Stars,"This information is so powerful. It is incredible and shocking to hear all the stories around the world of millions of people healing because of Anthony’s devine information. I cannot wait to introduce more friends and family to this podcast. Thank you for all the hours and hard work you put into this, Anthony. Words cannot express how much I appreciate it and will forever follow your advice!"
A higher power indeed 🙏,Apleck,09/23/2020,5 Stars,"The truth is very hard to take, in any form and what Anthony William and Spirit of Compassion are doing for the planet and humanity is unheard of. They have no ego and they truly want to help. His podcasts are unlike any other information you will ever receive. When you are awakened, you will actually absorb the information and not mock it! This is the truth, They are the truth, a higher power guiding them to guide us. Love them both and every day I’m thankful for them. We can only heal with these tools if we share the knowledge and truth he is telling us. Thank you AW and SOC for your 💕 love!"
Life Saving Information!!,Bethany1013,09/23/2020,5 Stars,"Never mind the few bad reviews here.  They are written by people who are either not part of the chronically ill community or they are paid to troll Anthony William and try and discredit his information that has healed and is healing millions.  I am one of those hopeless chronically ill people that Anthony William has saved.  I was in horrible pain for many years and countless doctors in the mainstream and alternative medical systems were at best no help at all and at worst causing severe trauma and harm.  Despite being a health food nut, marathoner, powerlifter, meditator, and yoga enthusiast, I was left trying to accept the idea that I would be in pain forever.  Sciatic pain, chronic fatigue, severe digestive problems, food sensitivities, burning mouth syndrome, hair loss, jaundice, multiple chemical sensitivities, MCAS, obesity, edema, cystic acne, depression, anxiety, and eczema are just a few of the conditions that I dealt with on a daily basis.  Then I found the Medical Medium information and that changed everything.  I started to slowly recover from conditions I was told by doctors that I would live with forever.  My healing journey is not over, but I finally know that I WILL HEAL.  The information that AW gives in his podcast, similar to his books, blog, and social media live streams, is revolutionary and from the purest source.  This is AW's first completely uncensored podcast and each episode that has come out so far is jam-packed with healing TRUTH.  If you want to heal or want to help someone else heal, then this is the place to be.  I wish I could give 10 stars!"
You are a blessing to this world,chathu25,09/23/2020,5 Stars,Scary but an eye opening massage. Thank you Anthony. I bought your all books and started to read the first one.
Life-changing for anyone suffering!,the naked food life,09/23/2020,5 Stars,"After over a decade of being chronically ill with no answers, Anthony's genuine teachings are the first advice that's actually helping me heal, and I know in my soul that this information is authentic. We are only human, and although many doctors have good intentions they only know what they've been taught and there is so much biased profit-driven information, ""cures,"" testing, and medications that it's impossible to trust anyone or anything associated with the healthcare industry!"
Medical Medium - Messenger of Truth,DDay011,09/23/2020,5 Stars,"Although I am not someone who usually writes reviews, I want to take the time to do so for the Medical Medium. Anthony and Spirit have truly changed my life and the lives of so many of my friends and family. There’s so much out there in the world that we are up against, but with Anthony and Spirit on our side, we know we have a fighting chance. Thank you MM for not giving up on your journey in order to be a messenger of truth, to banish darkness with the light, and to help ease the suffering of millions around the world. The information you share is priceless- my family and I feel so blessed to have you be a part of our daily lives in the form of all the healing protocols we implement and the spiritual strength we draw from the compassion you and Spirit have shown us. My TRUTH is I wouldn’t be here today without you and Spirit, I am empowered & inspired by you and Spirit, and I won’t give up on my healing journey because I have you and Spirit. I love you Spirit and Anthony, and thank you for loving me!"
Mind-blowing information everyone should know,Dessi I,09/23/2020,5 Stars,"In addition to his books, here, Medical Medium shares more shocking information that everyone concerned about their health and wellbeing and the wellbeing of all people and the Earth should know. Big “thank you” to Anthony and Spirit. Their information changed my and my family’s life. Forever grateful."
Truths the sick industry don’t want you to know,Doubleclutch229,09/23/2020,5 Stars,"I’ve been following Anthony and Medical Medium for a few years now, and have found his perspectives filled with wisdom and little know truths.  Much of it is common sense that when know or knew at some point.  For me eating fruits and veggies hasn’t been difficult, and I’m always interested to know about benefits of fruit and veggies I regularly consume.  Highly recommend if you are tired or struggling with “consensus diets!”"
Thank you!!! The best!!,GZandi,09/22/2020,5 Stars,"So grateful for sharing his knowledge!!! It’s saving 
my life!!!I’ve been so sick but have started on his diet for 3 months now. Thank you so much!!"
Wow!,Azaleea1,09/22/2020,1 Star,"I am speechless after listening to one of his podcasts today. There is no reference to any medical studies or research. He’s making up all the things he’s mumbling, and sounds like a nut cult leader.  I wish this guy would be banned from keeping on producing such garbage."
Hang on to every word…truth,Bellringer99,09/22/2020,5 Stars,So grateful for you Anthony to boldly share the messages from Spirit of Compassion. You’ve been my life saver and truth. Thank you x trillion. 💗
You are our Angel in this earth school for all of us!,WarriorGoddess222,09/22/2020,5 Stars,"You can’t never go wrong with Anthony Williams  he delivers messages from his guides Ángels that are blow minded and the truth of what’s going on in this crazy world, I been following and doing doing his protocols for  now 10 years and my family and I are so greatly appreciated & thankful for this Beautiful Angel who was put on this earth to help humanity and guide us through the pain and illness we are all experiencing. Healing takes time if you are doing it right. Medical Medium (Anthony Williams) is simple a gift to us and we all should be thankful for all his help he is doing with all his heart with his angels. My family and I are forever grateful for you Anthony! 💙🙏We are forever thankful for your humbleness love compassion and guiding all of us through the truth .. We all love you and support you 100000% We got your back brother. 
Love light blessings 
Liliana H"
Fruit Fear,Diehard hopeful,09/22/2020,5 Stars,Love getting the truth‼️🐚Fantastic~ well said and done💜🌟I have healed from Medical Medium food recipes and plans🌺🌟💜👍🥳
Unsure,starrtrippin,09/22/2020,3 Stars,"I’ve read the books of the “Medical Medium.”  I have drunk the celery juice for weeks at a time. I have listened to the podcast. My thoughts are still...undecided. I don’t necessarily doubt him, but I also haven’t noticed any benefit from following his diets and protocol."
Fruit fear,buterfly12,09/22/2020,5 Stars,Anthony! You are an Angel sent to help people and I thank you for speaking the truth and thank you for your hard work ❤️
The Real Deal,Cubanita in the bay,09/22/2020,5 Stars,I have read Anthony’s books and followed his protocols on and off for several years. I have slowly started to reduce my hypothyroidism and I have reversed many other emotional issues. A lot of what he talks about is completely logical like fruit being good for us. I’d rather eat something from the Earth than a lab. I would be skeptical of anyone that advocates his teachings shouldn’t be followed. If you do research you’ll see how much money is behind the industries that pay for studies to promote “well being” .. Look at a line at Starbucks and ask yourself if that’s an industry you would trust. One that has people addicted into paying $5 or more every day... We are addicted to the things that make us sick and not by choice.
He’s the only...,magnolia28012570,09/22/2020,5 Stars,"Man on earth who can heal you.  Really, honest to goodness heal you.  I’m in the process of healing after a year of being on his protocols.  I likely would’ve healed sooner if I didn’t cheat on take out foods (hard to get fresh foods prepared for me).  I’ve been sick for 10 years with MS.  Stuck on mattress island for four of those.  Last year, I thought I was knocking on death’s door and then the lady from the funeral home who came to the house to help me plan for my funeral told me about his first book.  Her boss praised it and had a family member change their life completely around from a terminal Illness.  I bought it and read it wide-eyed, crying and mouth open much of the time.  I’ll never question God’s word through the Bible or now through these books.  Or his podcasts.  A lot of this is sad info but so important to know because so many in the world aren’t looking out for us like they should.  Many ill-intentioned souls exist which is disheartening.  But Anthony isn’t.  He genuinely cares for those of us who are sick.  He’s going to every length to help us and he’s got so many people against him. So please, if you’ve been healed by him or are in the process of healing, or just feeling a little better after trying his protocols, give him the credit he deserves.  I’m not completely healed but I know I will be in the next year or so if I stick to his teachings and advice.  Take up for him because he takes up for us.  BTW, ALL of his podcasts/radio shows are unparalleled.  You’ll hopefully feel relieved after listening to what he has to say 👍🏼"
Fruit Fear No More!,Fiesta4Me,09/22/2020,5 Stars,"Anthony brings up so many wonderful points.  I KNOW there is darkness and I Choose the path of the light.  I am so grateful I found Anthony!  His message makes sense!  As my sister says you need to go with who resonates to your soul.  He is that for me.  Thank you, thank you, thank you for your gift of knowledge."
All episodes!!!!,trullyhealthy2019,09/22/2020,5 Stars,"I absolutely love all the shows!!! Extremely informative, I don’t know how some people can complain about AW repeating himself... I have listened to his shows multiple times and every time I learn more and more. It’s a lot of precious info that you can’t retain in one sitting. Anthony and spirit thank you for putting an end to so much suffering in my life and in the lives of many others. I really feel bad for people that choose not to take advantage of such precious gift. There’s not a way to put my true appreciation in to words. 🙏🙏🙏♥️♥️♥️

Thank you Anthony and spirit of compassion!!! 
I have already listened to both new episodes several times so scary and sad ... but empowering and informative at the same time."
Best Podcast Ever,plum077,09/22/2020,5 Stars,So grateful for the truth that Anthony William provides. Knowing the truth gives us strength and knowledge to protect ourselves and loved ones. Really impressed with this podcast.
Fruit Fear,CDuke1776,09/22/2020,5 Stars,"AW, 
     Thanks for all you do to help us understand what is going on behind the scene. We need to get the word out to eat more fruit.😊"
Thank You MM!,Mrs. Hernandez2011,09/22/2020,5 Stars,"So happy to have new episodes!
Because of this Podcast, My migraines have lessoned! Juiced Celery for 4 months straight
(Need to start back again) Helped with memory and brain fog!
Also Using Mary Ruth Elderberry (as recommended) for Virus protection."
The only truth out there,Carter Hauge,09/22/2020,5 Stars,"In a world where everything else is the same recycled garbage, one source stands out. And that is the Medical Medium!"
Seriously?? Complete Quack,avidpodcastress,09/22/2020,1 Star,"He literally said that as a 4 year old he knew his grandma had lung cancer before she was diagnosed. Come on.. your memory is so malleable as a child, especially a young child. He could have overheard parents talking about how it might be lung cancer because of whatever reason. And he as a child assumed well yes that’s what it is. He seems like a TOTAL QUACK. If you are going to listen, listen with a grain of salt .. or maybe the entire bag."
Inspirational,Stephruggio,09/22/2020,5 Stars,Thank you for sharing this information. It is life changing for me. 🙏
Something I just did not know,RomanAsanov,09/22/2020,5 Stars,I did not know this. Thank you so much for widening my horizons. And I hope celery juice is the answer for this problem as well.
Great Podcast! Not for the faint of heart,Nevas peled,09/22/2020,5 Stars,"If you prefer to live in ignorance about all the ways we devastate ourselves and the planet then this is not for you. If you want to be part of an essential sea change on planet earth please than allow your understanding of the world to be transformed by Anthony Williams. 
I just read on the news about 360 elephants of all ages that are dropping dead next to watering holes in Botswana.  It started in may.  Chem trails anyone?"
Grateful,lyr321,09/22/2020,5 Stars,I cried so hard at the end of this! You have opened my eyes and heart to many things that I felt were true and now I know they are! I didn’t find you by accident. God led me to you to help me. I have SO much gratitude that you follow your life’s calling. We need this now more then ever. I believe I believe!! God wraps his love around us if we let Him. I pray he protects you as you help humanity Anthony. I can’t imagine the sacrifices you have had to make to live this gift you were given and I am so truly grateful. Thank you.
Amazing!,patolo42,09/22/2020,5 Stars,Thank you for this great info. God bless you!
Compassionate Truth about Health,Mary Lothrop,09/22/2020,4 Stars,"Thank you for this life changing information on how to heal.  Chronic illness is epidemic at all ages now and it never used to be this way.  I don't know where I would be without this critical healing information the last 5 years.  My symptoms are dramatically reduced and I have been able to help others to learn and heal.  This new podcast makes it even easier for me to get and share the information.  AW and SOC, my eternal gratitude for your support and compassion.  Keep it coming!!!"
TRUTH UNCENSORED RAW AND REAL,The Boulay's,09/22/2020,5 Stars,"Yes yes yes!!! This is what we need to hear! The truth! 

I’m so glad MM has opened up and started talking in more detail these truths. This way people can listen in their car and share these podcasts."
LIFE AFFIRMING LIFE SAVING,vanessaraptor,09/22/2020,5 Stars,"I’ve gone from my death bed to thriving thanks to celery juice and the information that Anthony shares from Spirit. 
IT IS THE TRUTH!! 
Whether you are sick or just looking to stay healthy, this information is the greatest source for your ever lasting health.
♥️🙌🏻🥭"
A gift,Paigeart10,09/22/2020,5 Stars,"🎁AW really is a gift, God and Spirit of Compassion gave him to us, FOR FREE!  A true blessing from above!"
"Completely Priceless info, public speaking not one of his gifts.",Fazerless,09/22/2020,4 Stars,"I read his book Medical Medium in 2016 and it personally changed my life. He won MY trust the day I read page 47.  He started to describe the progression of the illness at stage four. I couldn’t believe what I was reading. After a lifetime of doctors not knowing what was happening to me This guy literally knew blow-by-blow what, how and why and it was right there on the pages in front of me. I have never been able to describe my own symptoms it so concisely to any physician as he did on that page. Sobbing I jotted down the dates in the margin that each stage had happened to me.  No doctor has ever had any amount of knowledge even touching this mans insight and I’ve been to so many in my lifetime of CFS hell, spending a fortune in multiple states and countries. I’m forever grateful this man is in the world.
The bottom line is since 2016 I continue to improve using his book and podcast advice.I sure wish I could get an appointment with him.

If he were my friend I would advise him, to minimize further criticism I’ve read from others,
A) He needs a better editor or a ghost writer of sorts to help clean up his rambling style at least that was my first thought upon reading his first book. They may have gotten better and they are so visually beautiful. 
B) He needs a gifted speaking coach that he trusts because OMG, he’s just awful, my heart breaks for him and I can’t recommend him to my friends Because I feel like “I get him” where they would not. These are friends who may or may not even believe I was ever ill because the doctors couldn’t figure it out. A very common problem in the world of the mysteriously chronically ill.

For his neigh sayers and for those familiar with the enneagram, I believe he’s a 6 on the enneagram as most great psychics are, poor guy is under so much stress he’s “gone to 3” and he comes off looking like a scheming sales person when really he’s nothing of the sort. That’s why he looks so defensive.

 He mentioned he started writing books after his waiting list was over 1 million people. He had about 3 million on Facebook last I looked. He didn’t really want to write books he just wanted to do the one on one that he loves. He has so many celebrities as clients he can’t lack for money and he doesn’t really need to do this work that he’s doing now.  He’s trying to save millions of suffering people and nothing short of that. It’s out of his compassion. And spirit is on his butt. He does have an ego, but who doesn’t. If I had his gift, I don’t know how I would keep it together.
Thank you Lord for Anthony William and Spirit of Compassion. Hang in there Anthony."
Great Health Wisdom,Samarablydncr,09/22/2020,5 Stars,Thank you for sharing your knowledge with everyone. I pray many others listen and do something about their health. It takes one person to change another’s mind to change the world.
You’re either ready to change or you aren’t,d0ntdoit,09/22/2020,5 Stars,"I’m so happy there’s a podcast to listen to. More ways to get information- and for free. I have read all the books and put into practice information that has helped me improve my life. The negative reviews are not surprising, people either are ready to believe and change or they’re not. I know it’s helped me and I am ever grateful!"
Thank you man! For truth!,greatestdayofmylife,09/22/2020,5 Stars,Grateful!
Healed my life long chronic issues and my son eczema,Nichole.d.lanham,09/22/2020,5 Stars,"Unless you’ve been down the road of despair and have spent most of your life stuck in the system of “sick care “ and even alternative medicine then you couldn't imagine the extent of love, gratitude, and appreciation the MM community has for Anthony William and spirit of compassion. 

Thank you for working tirelessly for people to find the true answers of the world and allowing people to regain their freedoms again. 

Praying everyone can have ears to hear, eyes to see, and hearts to feel and know the truth of what Anthony William shares with us all. 
God bless this man"
My Walking Jesus 🙏🏻,Rainey02,09/22/2020,5 Stars,"Anthony William gave me the information I needed to save my life when the doctors told me they couldn’t. Here is the bottom line for all of the nay sayers comments I have read so far.... None of them so I’ve read, have been a victim of disease and have suffered, nor gone through the let down after let down by doctors, and been taken advantage of and poked and probed and in and out of the hospital. Until you are living walking proof like myself, it’s just your opinion. I can say with the utmost certainty that Anthony William is the real deal. I have my life back because of his knowledge, AND MY APPLICATION OF IT. If you are really sick, and want to heal then buy the books and read them yourself. STOP COMPLAINING. Or continue to be sick. Your choice. There is no person I trust with health information other than this man right here. 
*Speaking from experience*"
Critical life information,Electra23,09/21/2020,5 Stars,"The info in the Medical Medium Podcasts is so critical in this day and age, from the true causes of a variety of mystery illnesses to the shocking but previously unknown causes behind Chemtrails, and the truth behind where Fruit Fear has come from and more.  In the new shows, he has really pulled out the stops to make sure we have a clear picture of what’s really going on in this world.  Thank goodness he’s here to spread the truth!"
Not an accident,seller with a mission,09/21/2020,5 Stars,I was in Bali in February.  My husband and I attend a presentation on a product. Well the guy who suppose to do the presentation talked about Chemtrail the whole hour. Well go figure we sat there by the house on a nice day. What do you know a huge line in the sky. And a week later I get big hit while outside by a rain drop right into my left eye. What do you know it got extremely infected. I couldn’t figure it out why in the world could a rain drop have such effect on my eye. As time went on I began to put these two things together. Now I’m a mission to know about Chemtrails.
"Amazing information, the whole truth",sham-mom,09/21/2020,5 Stars,"I have healed and lived with the truth that Anthony  gifts us for 8 years. When doctors could not help he knew what was really wrong and how to heal. After working with him he has written 6 books so the amount of information that we can all have access to is phenomenal and life-changing. I have known and seen so many People Heal from this information. It helped one of my family members get off 9 medications and start living their life after being bed ridden. This information is no joke, no small miracle.  Now he is taking it up another level and I could not be more grateful. No sponsees, no one to be beholden too, he is giving us even bigger truth to empower us at a time when we need it more than ever. I could not recommend this information more."
Brilliant,PomdaSaver,09/21/2020,5 Stars,This amazing man has dedicated his entire life to getting this advanced information out to the world. I have healed numerous health issues following information from his books and podcasts. Forever grateful.
